Locationabbr,Locationdesc,Question,Response,Sample_Size
FL,Florida,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"8,225"
FL,Florida,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,836
FL,Florida,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,479
FL,Florida,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"3,555"
FL,Florida,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"6,475"
FL,Florida,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"3,272"
FL,Florida,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,381"
FL,Florida,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"4,157"
FL,Florida,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,303"
FL,Florida,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"3,350"
FL,Florida,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"3,308"
FL,Florida,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),195
FL,Florida,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"7,393"
FL,Florida,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"2,403"
FL,Florida,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,607"
FL,Florida,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"1,195"
FL,Florida,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,271"
FL,Florida,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"7,936"
FL,Florida,"Do you currently use chewing tobacco, snuff, or snus?",Every day,75
FL,Florida,"Do you currently use chewing tobacco, snuff, or snus?",Some days,78
FL,Florida,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"9,055"
FL,Florida,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,884
FL,Florida,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,387
FL,Florida,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"3,172"
FL,Florida,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,764"
FL,Florida,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,168"
FL,Florida,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,559
FL,Florida,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,991"
FL,Florida,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,932
FL,Florida,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,359"
FL,Florida,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,105"
FL,Florida,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,570"
FL,Florida,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,"1,039"
FL,Florida,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,856"
FL,Florida,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,448
GA,Georgia,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"2,589"
GA,Georgia,Adults who have had at least one drink of alcohol within the past 30 days,No,"3,315"
GA,Georgia,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,555
GA,Georgia,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"5,299"
GA,Georgia,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,267
GA,Georgia,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"5,573"
GA,Georgia,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"2,313"
GA,Georgia,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"4,015"
GA,Georgia,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,556
GA,Georgia,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"5,752"
GA,Georgia,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,829
GA,Georgia,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"5,501"
GA,Georgia,Ever told you had angina or coronary heart disease?,Yes,403
GA,Georgia,Ever told you had angina or coronary heart disease?,No,"5,895"
GA,Georgia,Ever told you had a heart attack (myocardial infarction)?,Yes,382
GA,Georgia,Ever told you had a heart attack (myocardial infarction)?,No,"5,948"
GA,Georgia,Ever told you had a stroke?,Yes,287
GA,Georgia,Ever told you had a stroke?,No,"6,045"
GA,Georgia,Ever told you have COPD?,Yes,592
GA,Georgia,Ever told you have COPD?,No,"5,732"
GA,Georgia,Ever told you that you have a form of depression?,Yes,"1,243"
GA,Georgia,Ever told you that you have a form of depression?,No,"5,079"
GA,Georgia,Have you ever been told by a doctor that you have diabetes?,Yes,"1,048"
GA,Georgia,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",94
GA,Georgia,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",110
GA,Georgia,Have you ever been told by a doctor that you have diabetes?,No,"5,087"
GA,Georgia,Ever told you have kidney disease?,Yes,279
GA,Georgia,Ever told you have kidney disease?,No,"6,046"
GA,Georgia,Ever told you had any other types of cancer?,Yes,597
GA,Georgia,Ever told you had any other types of cancer?,No,"5,742"
GA,Georgia,Ever told you had skin cancer?,Yes,674
GA,Georgia,Ever told you had skin cancer?,No,"5,667"
GA,Georgia,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,646
GA,Georgia,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"3,099"
GA,Georgia,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,329
GA,Georgia,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,720"
GA,Georgia,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"2,803"
GA,Georgia,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,022"
GA,Georgia,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,112"
GA,Georgia,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,893
GA,Georgia,What is your age?,18-24 years,330
GA,Georgia,What is your age?,25-34 years,553
GA,Georgia,What is your age?,35-44 years,736
GA,Georgia,What is your age?,45-54 years,"1,086"
GA,Georgia,What is your age?,55-64 years,"1,457"
GA,Georgia,What is your age?,65+ years,"2,189"
GA,Georgia,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,432
GA,Georgia,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"5,587"
GA,Georgia,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,717
GA,Georgia,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"5,281"
GA,Georgia,Do you have difficulty doing errands alone?,Yes,522
GA,Georgia,Do you have difficulty doing errands alone?,No,"5,448"
GA,Georgia,Do you have difficulty dressing or bathing?,Yes,303
GA,Georgia,Do you have difficulty dressing or bathing?,No,"5,682"
GA,Georgia,Do you have serious difficulty walking or climbing stairs?,Yes,"1,263"
GA,Georgia,Do you have serious difficulty walking or climbing stairs?,No,"4,721"
GA,Georgia,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"1,534"
GA,Georgia,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"4,489"
GA,Georgia,Adults with health problem(s) that requires the use of special equipment,Yes,789
GA,Georgia,Adults with health problem(s) that requires the use of special equipment,No,"5,248"
GA,Georgia,What is the highest grade or year of school you completed?,Less than H.S.,704
GA,Georgia,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"1,712"
GA,Georgia,What is the highest grade or year of school you completed?,Some post-H.S.,"1,648"
GA,Georgia,What is the highest grade or year of school you completed?,College+,"2,243"
GA,Georgia,What is your employment status?,No work< yr,143
GA,Georgia,What is your employment status?,No work >yr,210
GA,Georgia,What is your employment status?,Student,169
GA,Georgia,What is your employment status?,Retired,"1,922"
GA,Georgia,What is your employment status?,Unable to work,620
GA,Georgia,What is your employment status?,Employed,"2,419"
GA,Georgia,What is your employment status?,Homemaker,363
GA,Georgia,What is your employment status?,Self-employed,438
GA,Georgia,What is your annual household income?,"Less than $15,000",675
GA,Georgia,What is your annual household income?,"$15,000 - 24,999","1,036"
GA,Georgia,What is your annual household income?,"$25,000 - 34,999",616
GA,Georgia,What is your annual household income?,"$35,000 -  49,999",703
GA,Georgia,What is your annual household income?,"$50,000+","2,244"
GA,Georgia,Have you used the internet in the past 30 days?,Yes,"4,586"
GA,Georgia,Have you used the internet in the past 30 days?,No,"1,516"
GA,Georgia,What is your marital status?,Married,"3,178"
GA,Georgia,What is your marital status?,Divorced,927
GA,Georgia,What is your marital status?,Widowed,971
GA,Georgia,What is your marital status?,Separated,173
GA,Georgia,What is your marital status?,Never married,919
GA,Georgia,What is your marital status?,Partnered,123
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,37
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,76
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,247
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,569
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,735
GA,Georgia,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"4,638"
GA,Georgia,What is your race/ethnicity?,White,"4,188"
GA,Georgia,What is your race/ethnicity?,Black,"1,544"
GA,Georgia,What is your race/ethnicity?,MultiRacial,107
GA,Georgia,What is your race/ethnicity?,Other,145
GA,Georgia,What is your race/ethnicity?,Hispanic,241
GA,Georgia,Do you own or rent your home?,Own,"4,471"
GA,Georgia,Do you own or rent your home?,Rent,"1,400"
GA,Georgia,Do you own or rent your home?,Other,176
GA,Georgia,Have you ever served on active duty in the United States Armed Forces?,Yes,988
GA,Georgia,Have you ever served on active duty in the United States Armed Forces?,No,"5,354"
GA,Georgia,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,933
GA,Georgia,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"5,398"
GA,Georgia,Do you have any kind of health care coverage?,Yes,"5,563"
GA,Georgia,Do you have any kind of health care coverage?,No,761
GA,Georgia,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"4,947"
GA,Georgia,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,579
GA,Georgia,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,342
GA,Georgia,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,335
GA,Georgia,About how long has it been since you last visited a doctor for a routine checkup?,Never,59
GA,Georgia,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"1,343"
GA,Georgia,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","4,759"
GA,Georgia,Do you have one person you think of as your personal doctor or health care provider?,More than one,484
GA,Georgia,Do you have one person you think of as your personal doctor or health care provider?,No,"1,084"
GA,Georgia,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"3,338"
GA,Georgia,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,726
GA,Georgia,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"4,989"
GA,Georgia,How is your general health?,Excellent,"1,087"
GA,Georgia,How is your general health?,Very good,"1,945"
GA,Georgia,How is your general health?,Good,"1,957"
GA,Georgia,How is your general health?,Fair,917
GA,Georgia,How is your general health?,Poor,426
GA,Georgia,Have you ever been tested for HIV?,Yes,"1,990"
GA,Georgia,Have you ever been tested for HIV?,No,"3,561"
GA,Georgia,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"1,149"
GA,Georgia,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,920
GA,Georgia,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"1,357"
GA,Georgia,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,654
GA,Georgia,Have you ever had the shingles or zoster vaccine?,Yes,926
GA,Georgia,Have you ever had the shingles or zoster vaccine?,No,"2,979"
GA,Georgia,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,36
GA,Georgia,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"2,543"
GA,Georgia,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"5,289"
GA,Georgia,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,580
GA,Georgia,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,358
GA,Georgia,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"1,694"
GA,Georgia,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"4,062"
GA,Georgia,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"2,209"
HI,Hawaii,Ever told you had a stroke?,No,"6,963"
GA,Georgia,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"3,229"
GA,Georgia,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"2,920"
GA,Georgia,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"1,833"
GA,Georgia,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"2,076"
GA,Georgia,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"1,824"
GA,Georgia,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),111
GA,Georgia,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"4,691"
GA,Georgia,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"1,656"
GA,Georgia,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,890
GA,Georgia,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,766
GA,Georgia,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,843
GA,Georgia,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"5,109"
GA,Georgia,"Do you currently use chewing tobacco, snuff, or snus?",Every day,117
GA,Georgia,"Do you currently use chewing tobacco, snuff, or snus?",Some days,104
GA,Georgia,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"5,751"
GA,Georgia,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,599
GA,Georgia,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,244
GA,Georgia,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"1,599"
GA,Georgia,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"3,510"
GA,Georgia,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"1,482"
GA,Georgia,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,376
GA,Georgia,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,895"
GA,Georgia,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,519
GA,Georgia,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,240"
GA,Georgia,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,646
GA,Georgia,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"1,686"
GA,Georgia,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,480
GA,Georgia,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,311"
GA,Georgia,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,252
HI,Hawaii,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"3,533"
HI,Hawaii,Adults who have had at least one drink of alcohol within the past 30 days,No,"3,345"
HI,Hawaii,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,"1,157"
HI,Hawaii,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"5,655"
HI,Hawaii,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,569
HI,Hawaii,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"6,253"
HI,Hawaii,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"1,847"
HI,Hawaii,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"5,365"
HI,Hawaii,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,684
HI,Hawaii,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"6,509"
HI,Hawaii,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,128"
HI,Hawaii,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"6,093"
HI,Hawaii,Ever told you had a stroke?,Yes,266
HI,Hawaii,Ever told you had angina or coronary heart disease?,Yes,287
HI,Hawaii,Ever told you had angina or coronary heart disease?,No,"6,920"
HI,Hawaii,Ever told you had a heart attack (myocardial infarction)?,Yes,302
HI,Hawaii,Ever told you had a heart attack (myocardial infarction)?,No,"6,907"
HI,Hawaii,Ever told you have COPD?,Yes,358
HI,Hawaii,Ever told you have COPD?,No,"6,859"
HI,Hawaii,Ever told you that you have a form of depression?,Yes,924
HI,Hawaii,Ever told you that you have a form of depression?,No,"6,293"
HI,Hawaii,Have you ever been told by a doctor that you have diabetes?,Yes,775
HI,Hawaii,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",46
HI,Hawaii,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",431
HI,Hawaii,Have you ever been told by a doctor that you have diabetes?,No,"5,982"
HI,Hawaii,Ever told you have kidney disease?,Yes,343
HI,Hawaii,Ever told you have kidney disease?,No,"6,889"
HI,Hawaii,Ever told you had any other types of cancer?,Yes,527
HI,Hawaii,Ever told you had any other types of cancer?,No,"6,706"
HI,Hawaii,Ever told you had skin cancer?,Yes,556
HI,Hawaii,Ever told you had skin cancer?,No,"6,675"
HI,Hawaii,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,989
HI,Hawaii,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"2,991"
HI,Hawaii,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,622
HI,Hawaii,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"2,674"
HI,Hawaii,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"2,687"
HI,Hawaii,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,330"
HI,Hawaii,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,227"
HI,Hawaii,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,971
HI,Hawaii,What is your age?,18-24 years,546
HI,Hawaii,What is your age?,25-34 years,906
HI,Hawaii,What is your age?,35-44 years,889
HI,Hawaii,What is your age?,45-54 years,"1,148"
HI,Hawaii,What is your age?,55-64 years,"1,608"
HI,Hawaii,What is your age?,65+ years,"2,150"
HI,Hawaii,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,305
HI,Hawaii,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"6,666"
HI,Hawaii,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,555
HI,Hawaii,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"6,382"
HI,Hawaii,Do you have difficulty doing errands alone?,Yes,386
HI,Hawaii,Do you have difficulty doing errands alone?,No,"6,530"
HI,Hawaii,Do you have difficulty dressing or bathing?,Yes,184
HI,Hawaii,Do you have difficulty dressing or bathing?,No,"6,751"
HI,Hawaii,Do you have serious difficulty walking or climbing stairs?,Yes,773
HI,Hawaii,Do you have serious difficulty walking or climbing stairs?,No,"6,156"
HI,Hawaii,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"1,355"
HI,Hawaii,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"5,625"
HI,Hawaii,Adults with health problem(s) that requires the use of special equipment,Yes,543
HI,Hawaii,Adults with health problem(s) that requires the use of special equipment,No,"6,445"
HI,Hawaii,What is the highest grade or year of school you completed?,Less than H.S.,347
HI,Hawaii,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"1,947"
HI,Hawaii,What is the highest grade or year of school you completed?,Some post-H.S.,"2,046"
HI,Hawaii,What is the highest grade or year of school you completed?,College+,"2,848"
HI,Hawaii,What is your employment status?,No work< yr,189
HI,Hawaii,What is your employment status?,No work >yr,198
HI,Hawaii,What is your employment status?,Student,225
HI,Hawaii,What is your employment status?,Retired,"1,861"
HI,Hawaii,What is your employment status?,Unable to work,317
HI,Hawaii,What is your employment status?,Employed,"3,247"
HI,Hawaii,What is your employment status?,Homemaker,271
HI,Hawaii,What is your employment status?,Self-employed,863
HI,Hawaii,What is your annual household income?,"Less than $15,000",771
HI,Hawaii,What is your annual household income?,"$15,000 - 24,999",990
HI,Hawaii,What is your annual household income?,"$25,000 - 34,999",732
HI,Hawaii,What is your annual household income?,"$35,000 -  49,999",914
HI,Hawaii,What is your annual household income?,"$50,000+","3,016"
HI,Hawaii,Have you used the internet in the past 30 days?,Yes,"5,592"
HI,Hawaii,Have you used the internet in the past 30 days?,No,"1,478"
HI,Hawaii,What is your marital status?,Married,"3,518"
HI,Hawaii,What is your marital status?,Divorced,962
HI,Hawaii,What is your marital status?,Widowed,672
HI,Hawaii,What is your marital status?,Separated,119
HI,Hawaii,What is your marital status?,Never married,"1,739"
HI,Hawaii,What is your marital status?,Partnered,183
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,66
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,109
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,302
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,661
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,866
HI,Hawaii,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"5,195"
HI,Hawaii,What is your race/ethnicity?,White,"2,252"
HI,Hawaii,What is your race/ethnicity?,Black,70
HI,Hawaii,What is your race/ethnicity?,MultiRacial,"1,818"
HI,Hawaii,What is your race/ethnicity?,Other,"2,440"
HI,Hawaii,What is your race/ethnicity?,Hispanic,565
HI,Hawaii,Do you own or rent your home?,Own,"3,999"
HI,Hawaii,Do you own or rent your home?,Rent,"2,233"
HI,Hawaii,Do you own or rent your home?,Other,742
HI,Hawaii,Gender of respondent,Male,"3,462"
HI,Hawaii,Gender of respondent,Female,"3,785"
HI,Hawaii,Have you ever served on active duty in the United States Armed Forces?,Yes,"1,112"
HI,Hawaii,Have you ever served on active duty in the United States Armed Forces?,No,"6,121"
HI,Hawaii,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,656
HI,Hawaii,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"6,585"
HI,Hawaii,Do you have any kind of health care coverage?,Yes,"6,697"
HI,Hawaii,Do you have any kind of health care coverage?,No,534
HI,Hawaii,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"4,930"
HI,Hawaii,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,942
HI,Hawaii,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,633
HI,Hawaii,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,650
HI,Hawaii,About how long has it been since you last visited a doctor for a routine checkup?,Never,52
HI,Hawaii,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","4,613"
HI,Hawaii,Do you have one person you think of as your personal doctor or health care provider?,More than one,"1,569"
HI,Hawaii,Do you have one person you think of as your personal doctor or health care provider?,No,"1,047"
HI,Hawaii,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,510"
HI,Hawaii,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,493
HI,Hawaii,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"6,079"
HI,Hawaii,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"1,165"
HI,Hawaii,How is your general health?,Excellent,"1,429"
HI,Hawaii,How is your general health?,Very good,"2,144"
HI,Hawaii,How is your general health?,Good,"2,506"
HI,Hawaii,How is your general health?,Fair,876
HI,Hawaii,How is your general health?,Poor,289
HI,Hawaii,Have you ever been tested for HIV?,Yes,"2,042"
HI,Hawaii,Have you ever been tested for HIV?,No,"4,455"
HI,Hawaii,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"1,246"
HI,Hawaii,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,792
HI,Hawaii,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"1,188"
HI,Hawaii,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,703
HI,Hawaii,Have you ever had the shingles or zoster vaccine?,Yes,"1,093"
HI,Hawaii,Have you ever had the shingles or zoster vaccine?,No,"2,977"
HI,Hawaii,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,136
HI,Hawaii,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"3,336"
